iter	Passed	Remaining
0	0	858
1	1	790
2	2	756
3	2	737
4	3	724
5	4	718
6	4	706
7	5	709
8	6	716
9	7	719
10	8	723
11	8	719
12	9	713
13	10	710
14	10	705
15	11	700
16	12	697
17	12	692
18	13	689
19	14	686
20	14	684
21	15	683
22	16	682
23	16	680
24	17	679
25	18	676
26	18	675
27	19	673
28	20	670
29	20	670
30	21	670
31	22	671
32	22	669
33	23	669
34	24	668
35	24	666
36	25	665
37	26	664
38	26	662
39	27	660
40	28	661
41	28	660
42	29	659
43	30	658
44	30	657
45	31	656
46	32	655
47	33	654
48	33	653
49	34	652
50	35	653
51	35	653
52	36	651
53	37	653
54	38	653
55	38	653
56	39	652
57	40	651
58	40	650
59	41	649
60	42	649
61	42	649
62	43	648
63	44	647
64	44	646
65	45	645
66	46	644
67	46	638
68	47	638
69	48	637
70	48	636
71	49	636
72	50	636
73	50	635
74	51	634
75	52	634
76	52	633
77	53	632
78	54	631
79	54	630
80	55	629
81	56	627
82	56	628
83	57	627
84	57	624
85	58	623
86	59	620
87	59	619
88	60	618
89	61	618
90	61	617
91	62	616
92	63	615
93	63	615
94	64	615
95	65	614
96	65	613
97	66	612
98	67	612
99	68	612
100	68	611
101	69	608
102	69	607
103	70	606
104	71	605
105	71	605
106	72	604
107	73	603
108	73	602
109	74	601
110	75	601
111	75	599
112	76	598
113	76	598
114	77	597
115	78	595
116	78	595
117	79	594
118	80	593
119	80	592
120	81	591
121	82	590
122	82	588
123	83	588
124	83	587
125	84	587
126	85	587
127	85	585
128	86	585
129	87	585
130	88	584
131	88	584
132	89	584
133	90	584
134	91	583
135	91	583
136	92	583
137	93	582
138	94	582
139	94	581
140	95	580
141	95	579
142	96	579
143	97	578
144	98	578
145	98	577
146	99	576
147	100	575
148	100	575
149	101	574
150	102	574
151	102	573
152	103	572
153	104	571
154	104	570
155	105	569
156	105	569
157	106	568
158	107	568
159	108	567
160	108	566
161	109	565
162	110	565
163	110	564
164	111	563
165	111	562
166	112	562
167	113	561
168	114	560
169	114	560
170	115	559
171	116	558
172	116	558
173	117	557
174	118	556
175	118	555
176	119	555
177	120	554
178	120	553
179	121	553
180	121	551
181	122	551
182	123	550
183	123	549
184	124	548
185	125	548
186	125	547
187	126	546
188	127	547
189	128	546
190	129	546
191	129	546
192	130	545
193	131	544
194	131	544
195	132	543
196	133	542
197	133	541
198	134	540
199	134	539
200	135	538
201	136	538
202	137	538
203	137	537
204	138	536
205	139	535
206	139	535
207	140	534
208	140	533
209	141	532
210	142	532
211	143	531
212	143	531
213	144	530
214	145	529
215	145	528
216	146	528
217	146	527
218	147	526
219	148	525
220	148	524
221	149	524
222	150	523
223	150	522
224	151	521
225	152	521
226	152	520
227	153	519
228	154	518
229	154	517
230	155	516
231	155	516
232	156	515
233	157	515
234	159	517
235	159	517
236	160	516
237	161	515
238	161	514
239	162	514
240	162	513
241	163	512
242	164	511
243	164	511
244	165	510
245	166	509
246	167	509
247	167	508
248	168	508
249	169	507
250	169	506
251	170	505
252	171	505
253	171	504
254	172	503
255	172	502
256	173	501
257	174	501
258	174	500
259	175	499
260	176	498
261	176	498
262	177	497
263	178	496
264	178	495
265	179	494
266	180	494
267	180	493
268	181	492
269	182	492
270	182	491
271	183	490
272	184	490
273	184	489
274	185	488
275	185	487
276	186	486
277	187	486
278	187	485
279	188	484
280	189	484
281	189	483
282	190	482
283	191	481
284	191	480
285	192	480
286	192	479
287	193	478
288	194	477
289	194	476
290	195	476
291	196	475
292	196	474
293	197	473
294	198	473
295	198	472
296	199	471
297	200	471
298	200	470
299	201	469
300	201	468
301	202	467
302	203	467
303	203	466
304	204	465
305	204	464
306	205	464
307	206	463
308	206	462
309	207	461
310	208	460
311	208	460
312	209	459
313	210	458
314	210	458
315	211	457
316	212	456
317	212	456
318	213	455
319	213	454
320	214	453
321	215	453
322	215	452
323	216	451
324	217	450
325	217	450
326	218	449
327	218	448
328	219	447
329	220	446
330	220	446
331	221	445
332	222	444
333	222	444
334	223	443
335	224	442
336	224	442
337	225	441
338	226	440
339	226	440
340	227	439
341	227	438
342	228	437
343	229	437
344	229	436
345	230	435
346	231	434
347	231	434
348	232	433
349	232	432
350	233	431
351	234	431
352	234	430
353	235	429
354	236	429
355	236	428
356	237	427
357	238	427
358	238	426
359	239	425
360	239	424
361	240	423
362	241	423
363	241	422
364	242	421
365	243	421
366	243	420
367	244	419
368	244	418
369	245	418
370	246	417
371	246	416
372	247	416
373	248	415
374	248	414
375	249	413
376	250	413
377	250	412
378	251	411
379	251	410
380	252	410
381	253	409
382	253	408
383	254	408
384	255	407
385	255	406
386	256	405
387	256	405
388	257	404
389	258	403
390	258	402
391	259	402
392	259	401
393	260	400
394	261	400
395	261	399
396	262	398
397	263	397
398	266	401
399	266	400
400	267	399
401	268	399
402	268	398
403	269	397
404	270	396
405	270	396
406	271	395
407	272	394
408	272	394
409	273	393
410	273	392
411	274	391
412	275	391
413	275	390
414	276	389
415	277	389
416	278	388
417	278	388
418	279	387
419	280	386
420	280	385
421	281	385
422	281	384
423	282	383
424	283	383
425	283	382
426	284	381
427	285	380
428	285	380
429	286	379
430	286	378
431	287	378
432	288	377
433	288	376
434	289	376
435	290	375
436	290	374
437	291	373
438	291	373
439	292	372
440	293	371
441	293	371
442	294	370
443	295	369
444	295	368
445	296	368
446	297	367
447	297	366
448	298	366
449	298	365
450	299	364
451	300	364
452	300	363
453	301	362
454	302	361
455	302	361
456	303	360
457	304	359
458	304	359
459	305	358
460	306	357
461	306	357
462	307	356
463	307	355
464	308	354
465	309	354
466	309	353
467	310	352
468	310	352
469	311	351
470	312	350
471	312	349
472	313	349
473	314	348
474	314	347
475	315	347
476	316	346
477	316	345
478	317	345
479	318	344
480	319	344
481	319	343
482	320	343
483	321	342
484	321	341
485	322	341
486	323	340
487	323	339
488	324	338
489	325	338
490	325	337
491	326	336
492	326	336
493	327	335
494	328	334
495	328	334
496	329	333
497	330	332
498	330	332
499	331	331
500	332	330
501	332	330
502	333	329
503	334	328
504	334	328
505	335	327
506	335	326
507	336	325
508	337	325
509	337	324
510	338	323
511	339	323
512	339	322
513	340	321
514	341	321
515	341	320
516	342	319
517	343	319
518	343	318
519	344	317
520	345	317
521	345	316
522	346	315
523	346	315
524	347	314
525	348	313
526	348	313
527	349	312
528	350	311
529	350	311
530	351	310
531	351	309
532	352	308
533	353	308
534	353	307
535	354	306
536	355	306
537	355	305
538	356	304
539	356	303
540	357	303
541	358	302
542	361	304
543	361	303
544	362	302
545	363	301
546	363	301
547	364	300
548	365	299
549	365	299
550	366	298
551	366	297
552	367	297
553	368	296
554	368	295
555	369	295
556	370	294
557	370	293
558	371	292
559	371	292
560	372	291
561	373	290
562	373	290
563	374	289
564	374	288
565	375	287
566	376	287
567	376	286
568	377	285
569	377	285
570	378	284
571	379	283
572	379	283
573	380	282
574	381	281
575	381	280
576	382	280
577	382	279
578	383	278
579	384	278
580	384	277
581	385	276
582	385	276
583	386	275
584	387	274
585	387	274
586	388	273
587	389	272
588	389	271
589	390	271
590	391	270
591	391	269
592	392	269
593	392	268
594	393	267
595	394	267
596	394	266
597	395	265
598	395	265
599	396	264
600	397	263
601	397	263
602	398	262
603	399	261
604	399	260
605	400	260
606	400	259
607	401	258
608	402	258
609	403	257
610	403	257
611	404	256
612	405	255
613	405	255
614	406	254
615	407	253
616	407	253
617	408	252
618	408	251
619	409	251
620	410	250
621	410	249
